customer_id,total_spent,previous_purchases,avg_order_value,product_views,add_to_cart,session_duration,days_since_last_purchase_capped,customer_lifetime_value,sessions,purchase_rate,cluster,segment
CUST100000,0.0,0,0.0,3.0,0.0,2.54,400,93.49,1,0.0,2,At-Risk Customers
CUST100001,4287.69,4,1071.9225,2.0,0.0,6.9,357,6608.61,1,0.0,3,High Value Customers
CUST100002,2843.0,1,2843.0,2.0,0.0,7.36,362,3612.43,1,0.0,0,Potential Customers
CUST100003,2712.47,1,2712.47,2.0,0.0,3.83,166,3178.14,1,0.0,0,Potential Customers
CUST100004,4980.2,3,1660.0666666666666,1.0,0.0,4.49,64,6056.93,1,0.0,3,High Value Customers
CUST100005,0.0,0,0.0,2.0,0.0,1.34,400,0.0,1,0.0,2,At-Risk Customers
CUST100006,3882.03,2,1941.015,3.0,0.0,3.09,130,4807.84,1,0.0,0,Potential Customers
CUST100007,7893.74,3,2631.2466666666664,3.0,0.0,0.76,59,11220.39,1,0.0,3,High Value Customers
CUST100008,0.0,0,0.0,5.0,0.0,7.14,400,0.0,1,1.0,2,At-Risk Customers
CUST100009,872.34,1,872.34,8.0,2.0,19.3,346,1483.43,1,0.0,1,Loyal Customers
CUST100010,0.0,0,0.0,1.0,0.0,2.79,400,124.68,1,0.0,2,At-Risk Customers
CUST100011,2514.85,1,2514.85,2.0,1.0,4.76,97,3259.27,1,0.0,0,Potential Customers
CUST100012,1752.66,1,1752.66,3.0,0.0,5.43,316,2127.35,1,0.0,0,Potential Customers
CUST100013,1929.41,1,1929.41,1.0,0.0,1.83,232,2778.74,1,0.0,0,Potential Customers
CUST100014,0.0,0,0.0,0.0,0.0,3.7,400,0.0,1,0.0,2,At-Risk Customers
CUST100015,6841.28,2,3420.64,2.0,0.0,5.63,248,9626.3,1,0.0,3,High Value Customers
CUST100016,4327.01,2,2163.505,3.0,0.0,4.56,259,5700.61,1,0.0,0,Potential Customers
CUST100017,1535.0,1,1535.0,4.0,0.0,4.23,364,2110.41,1,0.0,0,Potential Customers
CUST100018,2081.25,1,2081.25,2.0,0.0,3.3,103,2577.92,1,0.0,0,Potential Customers
CUST100019,1807.8,2,903.9,1.0,0.0,2.29,186,2997.56,1,0.0,0,Potential Customers
CUST100020,4043.89,3,1347.9633333333334,2.0,0.0,6.51,104,5680.96,1,0.0,0,Potential Customers
CUST100021,0.0,0,0.0,5.0,0.0,13.91,400,0.0,1,0.0,2,At-Risk Customers
CUST100022,9908.39,4,2477.0975,4.0,0.0,1.0,136,12052.13,1,0.0,3,High Value Customers
CUST100023,0.0,0,0.0,1.0,0.0,0.9,400,47.68,1,0.0,2,At-Risk Customers
CUST100024,0.0,0,0.0,1.0,0.0,1.73,400,0.0,1,0.0,2,At-Risk Customers
