customer_id,session_id,timestamp,age,gender,city,device_type,traffic_source,session_duration,pages_viewed,product_views,category_views,add_to_cart,cart_value,checkout_started,previous_purchases,previous_order_value,discount_used,coupon_used,wishlist_items,product_category,product_price,days_since_last_purchase,total_spent,customer_lifetime_value,purchase,purchase_value
CUST100468,SESS200468,2026-03-05 10:31:20,20.0,Female,Pune,Mobile,Organic Search,2.08,3,1,1,0,0.0,0,0,0.0,1,1,1,Rings,2358.73,9999,0.0,0.0,0,0.0
CUST111620,SESS211620,2026-06-27 12:55:45,,Male,Jaipur,Desktop,Social Media,9.46,4,1,1,0,0.0,0,1,3616.96,0,0,2,Rings,2359.55,269,3244.11,4390.83,0,0.0
CUST100538,SESS200538,2026-05-09 04:03:02,30.0,Other,Mumbai,Mobile,Social Media,3.81,3,1,1,0,0.0,0,2,1099.87,0,0,1,Earrings,299.0,73,2508.76,3925.51,0,0.0
CUST105265,SESS205265,2026-07-10 00:07:30,22.0,Male,Jaipur,Mobile,Social Media,1.27,3,2,2,0,0.0,0,1,2039.25,1,1,1,Earrings,3205.43,283,1992.48,2456.97,0,0.0
CUST107484,SESS207484,2026-02-05 03:01:29,25.0,Male,Mumbai,Mobile,Paid Ads,25.99,12,4,2,3,15429.3,1,1,2486.37,0,0,0,Couple Sets,5081.46,70,2307.22,3196.04,0,0.0
CUST107952,SESS207952,2026-07-14 12:21:56,45.0,Female,Pune,Desktop,Paid Ads,6.21,8,3,2,0,0.0,0,1,2408.91,1,1,1,Couple Sets,642.99,255,2207.33,2973.27,1,646.15
CUST106074,SESS206074,2026-07-15 07:53:36,16.0,Female,Pune,Mobile,Paid Ads,3.9,4,2,1,1,3225.99,1,1,880.06,1,1,1,Anklets,3090.14,188,798.14,931.08,1,3102.93
CUST106345,SESS206345,2026-06-08 00:35:39,30.0,Female,Kolkata,Mobile,Organic Search,3.65,6,4,2,0,0.0,0,1,1156.93,1,0,2,Pendants,2710.89,56,1135.31,1542.49,0,0.0
CUST107073,SESS207073,2026-03-14 20:34:42,26.0,Other,Delhi,Mobile,Organic Search,1.03,3,0,1,0,0.0,0,3,1323.4,0,0,0,Anklets,1543.94,20,3793.7,4518.95,0,0.0
CUST104929,SESS204929,2026-03-12 15:40:40,30.0,Female,Ahmedabad,Mobile,Social Media,4.47,8,5,2,0,0.0,0,1,1746.61,0,0,1,Earrings,2057.74,63,1786.85,2766.62,0,0.0
CUST110131,SESS210131,2026-05-04 08:17:04,34.0,Male,Chennai,Mobile,Direct,3.5,6,4,3,0,0.0,0,2,1016.38,0,0,0,Rings,379.87,68,1987.6,3122.33,0,0.0
CUST102021,SESS202021,2026-05-30 01:46:00,23.0,Female,Ahmedabad,Tablet,Organic Search,5.38,8,6,2,0,0.0,0,2,3357.83,0,0,0,Pendants,299.0,63,6010.52,8344.11,0,0.0
CUST109608,SESS209608,2026-04-27 09:44:48,28.0,Female,Bengaluru,Tablet,Social Media,4.68,5,1,1,0,0.0,0,1,2876.66,0,0,1,Couple Sets,3524.9,12,2890.6,3966.65,0,0.0
CUST105407,SESS205407,2026-06-27 08:14:53,26.0,Female,Mumbai,Mobile,Paid Ads,6.56,3,1,1,0,0.0,0,2,300.0,1,1,1,Nose Pins,4221.72,335,656.23,1225.54,0,0.0
CUST102876,SESS202876,2026-05-31 02:20:41,22.0,Female,Mumbai,Desktop,Organic Search,2.92,2,0,1,0,0.0,0,2,3363.78,0,0,2,Necklaces,3219.71,355,7211.95,7872.89,0,0.0
CUST111724,SESS211724,2026-03-24 00:23:40,32.0,Male,Delhi,Desktop,Social Media,10.63,5,1,1,0,0.0,0,0,0.0,0,0,0,Nose Pins,2370.64,9999,0.0,16.16,0,0.0
CUST111526,SESS211526,2026-04-03 21:41:04,35.0,Female,Chennai,Mobile,Organic Search,4.28,8,4,2,0,0.0,0,0,0.0,0,0,2,Necklaces,3078.38,9999,0.0,95.94,0,0.0
CUST108287,SESS208287,2026-04-10 03:18:23,33.0,Female,Hyderabad,Desktop,Organic Search,5.37,3,1,1,0,0.0,0,0,0.0,0,0,1,Earrings,300.01,9999,0.0,188.4,0,0.0
CUST111006,SESS211006,2026-04-25 19:06:21,29.0,Male,Kolkata,Mobile,Paid Ads,6.07,6,2,2,0,0.0,0,6,1109.94,0,0,0,Couple Sets,1321.04,119,6256.89,7991.37,0,0.0
CUST105828,SESS205828,2026-02-22 18:48:09,23.0,Other,Hyderabad,Desktop,Email,3.68,5,3,2,2,4009.09,1,1,2598.23,0,0,1,Rings,1992.81,114,2820.65,4048.54,1,3914.13
CUST103133,SESS203133,2026-02-15 00:52:45,29.0,Male,Pune,Tablet,Organic Search,6.49,5,3,1,0,0.0,0,1,3429.8,0,0,3,Rings,1925.48,317,3170.32,4435.96,0,0.0
